track_id,start_frame,end_frame,num_points,detected_points,mean_confidence,start_time,end_time,duration_s,detected_ratio
167,715,716,2,2,0.672561526298523,2026-06-01 00:00:23.800000000,2026-06-01 00:00:23.833333333,0.03333333333333333,1.0
177,739,740,2,2,0.34346508979797363,2026-06-01 00:00:24.600000000,2026-06-01 00:00:24.633333333,0.03333333333333333,1.0
142,667,668,2,2,0.42241980135440826,2026-06-01 00:00:22.200000000,2026-06-01 00:00:22.233333333,0.03333333333333333,1.0
154,685,686,2,2,0.5208469927310944,2026-06-01 00:00:22.800000000,2026-06-01 00:00:22.833333333,0.03333333333333333,1.0
138,627,628,2,2,0.32615721225738525,2026-06-01 00:00:20.866666667,2026-06-01 00:00:20.900000000,0.03333333333333333,1.0
135,607,608,2,2,0.5942751467227936,2026-06-01 00:00:20.200000000,2026-06-01 00:00:20.233333333,0.03333333333333333,1.0
139,631,632,2,2,0.8758756220340729,2026-06-01 00:00:21.000000000,2026-06-01 00:00:21.033333333,0.03333333333333333,1.0
132,585,586,2,2,0.8474591374397278,2026-06-01 00:00:19.466666667,2026-06-01 00:00:19.500000000,0.03333333333333333,1.0
128,565,566,2,2,0.44031040370464325,2026-06-01 00:00:18.800000000,2026-06-01 00:00:18.833333333,0.03333333333333333,1.0
125,544,545,2,2,0.576196014881134,2026-06-01 00:00:18.100000000,2026-06-01 00:00:18.133333333,0.03333333333333333,1.0
151,679,680,2,2,0.6492143273353577,2026-06-01 00:00:22.600000000,2026-06-01 00:00:22.633333333,0.03333333333333333,1.0
118,391,392,2,2,0.3499078005552292,2026-06-01 00:00:13.000000000,2026-06-01 00:00:13.033333333,0.03333333333333333,1.0
97,253,254,2,2,0.2627634257078171,2026-06-01 00:00:08.400000000,2026-06-01 00:00:08.433333333,0.03333333333333333,1.0
113,387,388,2,2,0.8733048141002655,2026-06-01 00:00:12.866666667,2026-06-01 00:00:12.900000000,0.03333333333333333,1.0
31,49,50,2,2,0.5715038478374481,2026-06-01 00:00:01.600000000,2026-06-01 00:00:01.633333333,0.03333333333333333,1.0
